income,credit_score,loan_amount,employment_years,loan_status
146958,647,54738,19,1
40795,654,43397,3,0
25860,648,354333,1,0
128694,555,348511,17,0
144879,746,212332,18,1
135268,682,392729,18,1
101820,808,348763,16,1
79886,572,121453,13,0
31265,602,29816,18,0
107386,714,445456,12,1
62194,751,409492,11,0
112498,632,255011,5,0
137727,694,351674,3,1
69131,634,426715,18,0
85263,627,491792,15,0
41023,550,381000,12,0
66090,600,223567,3,0
92221,722,81635,16,1
89820,754,379947,0,0
25769,809,226184,17,0
84735,837,308090,19,1
87955,583,327348,16,0
89925,644,192958,14,0
146637,621,474868,10,0
92969,588,287707,12,0
30311,703,102324,0,0
128355,799,233536,16,1
129724,711,242944,5,1
108104,667,281991,3,0
78707,808,36155,19,1
110305,817,351815,15,1
53693,603,126891,14,0
96932,785,355454,14,1
118016,771,470494,5,1
131970,800,159381,14,1
50658,661,141691,13,0
109478,804,486410,10,1
147537,756,453324,6,1
43431,778,44707,8,1
27747,615,423553,15,0
148855,624,353681,4,1
84150,652,207576,19,1
90725,741,188686,9,1
109654,801,232500,17,1
60773,775,363299,2,0
144346,843,272425,12,1
92435,647,168492,10,0
81886,835,484112,16,1
91803,798,180102,12,1
56551,715,404274,5,0
141216,579,227285,16,1
36394,796,348404,12,0
94092,655,169476,18,1
28890,600,244554,18,0
66606,630,170928,9,0
121276,682,150272,2,1
105038,834,336322,13,1
112313,687,306141,18,1
35627,733,428827,4,0
33792,822,129273,4,0
133859,618,182307,19,1
133557,583,258500,16,1
98969,811,176129,9,1
68001,602,142311,4,0
101552,754,244746,3,1
48897,675,255546,5,0
93148,784,206733,3,1
146729,592,136945,6,1
149243,789,55272,6,1
145923,660,361537,17,1
145174,798,333356,2,1
48483,700,156470,0,0
149358,732,130030,3,1
73555,644,328647,5,0
42159,557,409854,8,0
135510,733,16570,13,1
131530,830,340929,11,1
105077,744,19110,19,1
60920,744,89141,3,1
117067,704,22115,11,1
92121,642,49062,9,1
94479,709,295055,6,0
114475,610,114061,2,0
44457,671,304700,13,0
91557,600,481347,9,0
102189,826,400479,15,1
134109,554,11969,15,1
103953,641,315897,9,0
77995,719,486027,12,0
65757,571,407686,5,0
34692,550,131863,11,0
70758,682,282369,8,0
97409,782,133008,12,1
96211,561,164268,3,0
90697,595,115823,10,0
62065,583,285813,19,0
117093,627,440596,17,0
124299,767,396542,10,1
57606,622,120677,3,0
36534,831,256958,17,1
119663,798,58320,0,1
65397,596,450630,6,0
116387,670,156649,5,1
26016,763,135354,14,0
114789,788,98009,17,1
80591,605,267437,10,0
114812,656,458625,19,1
48247,597,38625,14,0
49300,610,222112,15,0
99065,575,296233,6,0
107798,841,46487,9,1
34268,806,469054,11,0
111807,557,238071,13,0
37185,662,382592,4,0
88704,802,498011,17,1
111779,729,322282,4,1
64099,756,183895,2,0
33571,676,440424,4,0
148372,605,326205,16,1
130512,763,433875,18,1
63044,563,111376,18,0
76214,577,435106,11,0
86228,627,351278,8,0
139752,765,319199,0,1
73984,703,253341,17,0
65774,563,291652,3,0
27568,736,445503,9,0
145151,556,482132,6,0
87592,552,168056,0,0
92563,660,120169,16,1
27695,787,280269,1,0
149375,788,46059,10,1
73190,823,472785,8,1
30258,843,113409,6,0
112538,776,420303,16,1
64504,564,15704,16,0
58159,741,463792,1,0
38986,668,214456,5,0
86858,577,228200,13,0
37666,751,121279,5,0
63660,588,475676,1,0
28561,822,168280,0,0
51854,780,128516,9,1
89505,635,488366,4,0
129488,675,207096,1,1
77251,849,443098,15,1
47662,574,429139,1,0
33392,694,386188,9,0
55535,562,242549,1,0
103603,761,39165,15,1
138569,574,77203,15,1
77256,617,494965,18,0
114135,616,276258,6,0
60222,782,468181,11,0
102373,658,46321,14,1
104575,695,345441,7,0
148684,660,368796,5,1
121354,777,371448,9,1
109651,660,255014,2,0
88335,583,166498,18,0
35965,660,27772,16,0
49538,813,375898,6,0
133066,785,275856,19,1
95592,632,404583,3,0
123018,591,248389,13,0
138252,650,125142,19,1
33110,555,101736,14,0
104309,729,61924,7,1
52266,831,13726,14,1
77992,775,361296,19,1
107948,778,37723,13,1
147073,838,399113,8,1
123806,699,244182,7,1
31910,826,372638,16,1
135989,747,150180,1,1
115982,619,218786,2,0
146626,661,45643,7,1
144176,553,172396,11,1
25206,644,376040,0,0
112054,701,224432,9,1
112897,686,149999,19,1
147409,796,365824,2,1
48419,792,368690,5,0
75636,580,425659,6,0
147546,589,89973,19,1
139238,778,335593,17,1
75015,585,119834,10,0
142478,772,246386,18,1
147096,555,479959,4,0
132059,769,463449,18,1
79268,624,297681,10,0
135687,553,349720,11,0
112939,683,117522,9,1
43141,667,32612,7,0
105356,643,235049,8,0
130878,611,278615,3,0
96910,743,176703,4,1
81044,752,250069,7,1
92214,575,233131,8,0
142930,722,41348,14,1
144324,849,205804,14,1
58827,682,273321,15,0
80820,667,145832,13,1
87623,824,304923,7,1
106734,761,293780,17,1
100450,774,91889,9,1
118426,569,63551,19,1
142845,662,414772,5,1
47299,689,430814,11,0
68585,596,152635,1,0
134225,550,56819,6,0
89044,639,345914,15,0
67557,691,494271,2,0
74080,587,430182,12,0
134556,842,222781,2,1
27693,688,463105,17,0
120003,808,168059,10,1
120259,710,350858,7,1
137235,727,199420,5,1
94163,559,34596,0,0
50939,810,436390,0,0
73925,687,336250,7,0
67941,721,473183,4,0
46834,562,69182,15,0
43047,717,496516,10,0
51105,679,359307,4,0
100766,633,311454,3,0
40707,650,328232,5,0
46976,822,138803,13,1
69262,814,149978,18,1
48776,587,309058,8,0
