listening_hours_per_week,songs_per_day,skip_rate,playlist_count,preview_segment
2,10,55,2,Casual Listener
3,15,50,3,Casual Listener
4,20,60,4,Casual Listener
5,18,45,3,Casual Listener
6,22,50,5,Casual Listener
4,12,65,2,Casual Listener
7,25,40,6,Casual Listener
3,14,55,3,Casual Listener
5,20,48,4,Casual Listener
6,24,45,5,Casual Listener
8,30,35,8,Casual Listener
9,35,30,10,Music Explorer
10,40,32,12,Music Explorer
12,45,25,15,Music Explorer
13,50,30,14,Music Explorer
14,55,28,16,Music Explorer
15,60,22,18,Music Explorer
11,48,35,12,Music Explorer
16,65,20,20,Music Explorer
17,70,25,22,Music Explorer
20,80,15,15,Music Explorer
22,90,12,18,Music Explorer
25,100,10,20,Heavy Listener
28,110,8,25,Heavy Listener
30,120,5,30,Heavy Listener
32,130,10,28,Heavy Listener
35,140,4,35,Heavy Listener
38,145,3,40,Heavy Listener
25,95,15,22,Heavy Listener
30,125,7,32,Heavy Listener
